date,link,text,compensation,type,address
2019-08-05 09:05,https://newyork.craigslist.org/que/egr/d/fresh-meadows-office-field-assistant/6949814443.html,Office & Field Assistant (Flushing),Competitive salary and benefits.,full-time,"
        ,
compensation: Competitive salary and benefits.,
employment type: full-time ,
Land Surveying firm looking for Office & field assistants.,
Training can be provided for potential candidates.,
College Grads with computer skills a plus for training.,
Knowledge of AutoCad, Carlson Surveying an asset.,
NYS Driver's license Reqiured,
Must be authorised to work in the USA,
,
Candidates must be available to start immediately. Motivated individuals are encouraged to apply.,
    "
2019-08-06 08:40,https://newyork.craigslist.org/brk/egr/d/brooklyn-architect-drafter/6950583726.html,ARCHITECT / DRAFTER,Salary & Bonus - Based on Qualification,part-time,"
        ,
Busy Design and Consulting firm is looking for a talented individual to join our team.,
,
Our work includes renovations and ground ups of small, medium and large scale single and multi-family residential, commercial, community facility and mixed-use projects. ,
,
Responsibilities will include production of design development and construction documents, Candidates must be self-motivated, reliable and able to manage all aspects of a project.,
,
Candidate Qualifications:,
Be familiar with NYC codes and zoning.,
Knowledge of construction materials, details and methods.,
Proficiency in Revit and AutoCAD.,
,
We are looking for highly motivated individuals who are willing to take on responsibility and grow with our team. Interested applicants must be quick to learn and adapt new drawing methods, related zoning & code rules, DOB and related agency requirements. detail-oriented, collaborative, and eager to take on challenges,
,
Qualified individuals should submit a *brief description of your qualifications, *work samples, *starting salary requirements, in pdf or word format    "
2019-08-06 07:17,https://newyork.craigslist.org/mnh/egr/d/new-york-city-freelance-sketchup/6950556587.html,Freelance Sketchup Designer - Immediate hire,TBD,part-time,"
        ,
McCARTAN is seeking immediate experienced Sketchup Designer for our NYC office.,
 ,
Responsibilities include:,
- Working on Interior Architecture for hotels and hi-rise living towers,
,
Requirements include:,
- In depth understanding of building material and systems,
- Min 5+ years of experience in the preparation of construction documents, with work samples demonstrating such experience.,
- High proficiency in AutoCAD, Revit, SketchUp & 3D rendering programs,
- Able to effectively and clearly communicate with other members of the project team,
- Fully proficient in all ADA & building codes,
,
Note:,
- PLEASE DO NOT RESPOND IF YOU CANNOT FULFILL OR PROVE THE ABOVE REQUIREMENTS,
- When emailing portfolio keep attachments small and consolidate files into one package.,
- We thank all candidates for their interest, however only those candidates selected for an interview will be contacted,
- US residents only as this is for immediate hire,
    "
2019-08-06 09:27,https://newyork.craigslist.org/que/egr/d/flushing-architect-drafts-person/6950609383.html,Architect drafts person,TBD,full-time,"
        ,
LOOKING TO HIRE FULL TIME ARCHITECT/ DRAFTS PERSON, WITH KNOWLEDGE OF NYC ZONING CALCULATIONS, BUILDING CODES, AND PAPER WORK REQUIREMENTS FOR DOB SUBMITTAL. ,
,
REQUIREMENTS:,
- Must have Bachelor of Architecture degree - 1-2 years working experience in single family residential design and mixed-use buildings (Community Facility is a plus),
- Must be able to develop a full set of construction drawings independently,
- Must be a very organized and have excellent communication skills. ,
- Strong AutoCad skills,
- Revit skills is a plus,
- Must be able to manage multiple projects and communicate back to clients and contractors ,
,
EMAIL YOUR RESUME.,
    "
2019-07-21 09:23,https://newyork.craigslist.org/brk/egr/d/brooklyn-structural-engineer-wanted/6938854693.html,Structural Engineer Wanted,Negoatiable based on experience and qualifications.,contract,"
        ,
Structural Engineer needed for fast turnaround per job work. First assignment is to measure and draw existing shoring currently existing. Must be licensed PE in New York State.    "
2019-08-06 16:01,https://newyork.craigslist.org/que/egr/d/woodside-rhonda-feinman-custom-frames/6950967891.html,Rhonda Feinman Custom Frames are looking to hire Sander & Supervising,TBD,full-time,"
        ,
Rhonda Feinman Custom Frames was founded in 2001 with the goal of providing the finest quality custom made picture frames for the fine art trade. Our frames are featured in renowned museums, galleries and private collections. ,
,
Rhonda Feinman Custom Frames are looking to hire Sander & supervising sanding department,
,
Requirement ,
,
* furniture sanding and finishing or auto body repair 6month experience,
* Experience with spray painting, compressor operation and maintenance,
,
In order to apply and be considered for the position, interested candidates must attend a screening interview recruitment event ,
,
 Date & Time: 8/9/2019 10:00am to 3:00pm,
 Location: 41-17 Main St, Flushing, NY 11355 (3rd Floor),
,
 Please be dressed professionally and ready for an interview,
,
 Ask for Maha at the front desk. ,
,
 Don’t miss this great opportunity!,
    "
2019-08-06 11:15,https://newyork.craigslist.org/mnh/egr/d/new-york-city-stone-estimator-needed/6950695485.html,Stone Estimator needed for at trendy LIC firm! APPLY TODAY!!,Commenstruate with experience,full-time,"
        ,
A growing Marble & Stone distributing and fabrication company is looking for a Stone Estimator to work with our team of Architects and Engineers and convert designs into technical plans. Stone Drafter responsibilities include gathering drawings and specifications, calculating material and equipment requirements and setting up production methods. If you have hands-on experience with computer-aided design (AutoCAD) software and are familiar with building processes, we’d like to meet you.,
,
Responsibilities:,
,
Liaise with architects and engineers to gather product and structural requirements and designs,
Calculate dimensions, weight limitations and requirements in materials,
Describe production methods step-by-step (including equipment and software types to be used),
Create detailed designs with computer-aided design (AutoCAD) software,
Design diagrams, maps and layouts to illustrate workflow,
Prepare and review rough sketches and review them along with the engineering team,
Identify potential operational issues and redesign layouts to improve functionality,
Ensure final designs comply with regulations and project specs,
Create manuals that describe existing products’ operation and maintenance plans using AutoCAD,
Work from rough sketches and specifications created by engineers and architects,
Help design & draft products with engineering and manufacturing techniques,
Create drawings from architectural & engineering documents, following project specifications,
Prepare multiple versions of designs for review by engineers and architects,
Specify dimensions, materials, and procedures for projects,
,
,
Requirements:,
Proven work experience as a Stone and Marble Estimator or similar role,
Hands-on experience with computer-aided design (AutoCAD) software,
Familiarity with 3D modeling tools,
Good math skills,
Ability to meet deadlines,
Experience in stone/construction field, preparing & planning large scale projects using AutoCAD, Planswift, etc.,
,
Qualifications:,
Bachelor’s degree from an accredited University,
3 years of Stone estimating experience,
A detail-oriented approach to tasks,
A natural problem-solver,
Strong industry research skills    "
2019-07-19 17:56,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-structural/6937865925.html,Facade / Building Envelope Structural Engineer,Commensurate with experience,full-time,"
        ,
, ,
, , New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled structural engineer with 3 to 7 years of building envelope restoration experience to join us in executing a growing slate of challenging projects., 

We work on an array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks, from Trinity Church to Grand Central Terminal. Our work embraces all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. We’re proud to be an industry leader in crucial practice areas like Local Law 11 inspections and repairs. We've won numerous awards, as well as the loyalty of many of the premier public, corporate, and residential clients in the region. ,

You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This arrangement offers employees the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer systems and applications, advanced photography and image processing, and state-of-the-art, non-destructive diagnostic equipment and techniques. ,

Typically, you’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. ,

We offer an array of benefits and growth opportunities: :,
,

Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away. ,

If you’re excited about this opportunity, please send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or link to your portfolio that demonstrates your experience and capabilities. ,

With thanks for your interest, please note that only those candidates under consideration will be contacted. ,

For additional information on our firm’s services, approach, and projects, visit ,
    "
2019-07-19 17:59,https://newyork.craigslist.org/mnh/egr/d/facade-building-envelope-project/6937867679.html,Facade / Building Envelope Project Architect,Commensurate with experience,full-time,"
        ,
, ,

, New York City's leading professional firm dedicated to the preservation of buildings and infrastructure, is seeking a resourceful, skilled project architect with 5-10 years’ relevant experience to join us in executing a growing slate of challenging projects. , 
, ,
We’re proud to be an industry leader in crucial practice areas like facade inspections and repairs (Local Law 11), roof repairs, and investigation and remediation of structural issues. We've won numerous awards—including ten Lucy Moses preservation awards—as well as the loyalty of many of the premier public, corporate, and residential clients in the region. , 
,
Absolutely. You'll be supported by some of the most sophisticated technology in the profession, including proprietary computer applications that integrate construction drawings, specifications, cost estimating, scheduling, and construction administration; advanced photography and image processing; and state-of-the-art, non-destructive diagnostic equipment and techniques. In fact, we have an in-house studio dedicated to such supporting technology, constantly developing new digital tools (think James Bond’s “Q”). ,   .

, ,
Honestly, we offer aspects of both. You’ll work as part of a small team assigned to projects based on synergies between project requirements and the capabilities of each team member. This gives you the dual advantages of a small office experience coupled with access to the centralized resources of a larger firm. , 
,
You’ll participate in all phases of a project from inception through completion: proposal, investigation, construction documents, bid negotiation, and construction administration. You'll have the opportunity to see your designs executed in the field and you'll take on greater responsibility and client management as soon as you are ready. ,
,
An array of building types, including courthouses, schools, universities, churches, and hospitals, and many of New York's most storied landmarks. , 
, ,
We embrace all components of the building envelope and underlying structure—facades, roofs, windows, and plazas—and the full complement of materials, from historic terra-cotta to high-performance curtain walls. , 
,

We offer an array of benefits and growth opportunities:,
,
,
,
,

Our light-filled Tribeca office is in a landmarked building with 16' high ceilings, 8' tall windows, and stunning views of Manhattan in three directions—not a bad place to spend the work day. We’re easily accessible via public transportation: the A, C, and E Canal Street station connects directly to our building’s lobby. The N, R, 1, and 6 lines are all just a few blocks away.,

,

Send us your resume, a cover letter with salary requirements, and a few pages of attachments (maximum of 10MB, please) or a link to your portfolio that demonstrates your experience and capabilities. We look forward to meeting you! ,

Please note that, due to the high number of applicants, we can only contact candidates under consideration. ,  

For additional information on our firm’s services, approach, and projects, visit ,
    "
2019-07-20 12:35,https://newyork.craigslist.org/mnh/egr/d/new-york-city-assistant-project-manager/6938320387.html,Assistant Project Manager Position - DOB Experience Required,"Salary, medical, retirement, vacation",full-time,"
        ,
We are a Construction Consulting / Expediting firm in Manhattan and are currently seeking a full-time Assistant Project Manager who has experience with NYC DOB. This is a wonderful opportunity for someone who is a punctual, reliable, team player with a good work ethic and who enjoys a rewarding and fast-paced work environment.,
,
APM Responsibilities are:,
,
• Process DOB filing sign-offs,
• Prepare form work for and obtain initial DOB Work permits,
• Track projects, communicate permit expiration with clients and renew permits,
• Establish safety registrations and general superintendent registrations,
• Track and Renew contractor insurance,
• Assist PMs as needed for management of C.O. projects,
,
,
Key requirements:,
,
• Proficient with DOB on-line systems (BIS, DOB Now and E-filing),
• Understanding of DOB project filing techniques, including HUB filings in order to determine permit and signoff requirements,
• Ability to effectively work with clients,
• Ability to communicate problems with staff if they occur,
• Experience with the Microsoft Office Suite,
• Ability to handle multiple projects simultaneously,
• Coordinate and track the progress of the tasks with staff expediters.,
,
Preference will be given to candidates possessing Filing Representative registration. Candidate must possess strong interpersonal, communication and writing skills and must have keen problem solving skills. Ideally, we seek someone who has the desire and drive to become a long-term, trusted member of our team. Compensation is based upon experience and includes a full benefits package.,
,
To be considered you must provide the following:,
,
1.) a cover letter , 2.) your resume, 3.) your salary expectation or history.,
,
Our office is conveniently located near Penn Station and company provides paid time off, retirement plan, and major medical insurance. ,
,
 We look forward to hearing from you.,
,
Key words: expediter, expeditor, DOB, D.O.B., DOT, D.O.T., Department of Buildings, Department of Transportation, Construction, Architect, Engineer, Consultant, Construction Consultant, Code, Zoning,
    "
2019-07-21 12:53,https://newyork.craigslist.org/que/egr/d/jamaica-architect/6938987864.html,ARCHITECT/,based on experience,full-time,"
        ,
We are seeking an ARCHITECT / CAD drafter to create NYC DOB filing sets for residential /  commercial renovations, property violation removals. ,
,
RESPONSIBILITIES:,
• Survey existing and as-built conditions on sites located throughout the NYC area,
• Create Architectural Drawings and Construction Documents (Alteration Type 1 and Type 2),
• Zoning Analysis and Diagrams,
• Drawing existing and proposed sections and elevations,
• Update drawing sets based on NYC Plan Examiner Objections,
• Prepare DOB filing set packages and coordinate with Expediter to file with Department of Buildings.,
    "
2019-07-21 15:51,https://newyork.craigslist.org/que/egr/d/project-manager/6939121562.html,Project Manager,Based on experience,full-time,"
        ,
Project manager needed for drywall company based in queens.,
Must have experience as a project manager on drywall jobs,
Must be reliable, motivated and excellent organizational skills.,
Proficient in  take off, reading plans, prepare proposals, quick books, Microsoft word and excel.,
Must have the ability to manage new and existing drywall construction.,
Please send salary requirements with resume.,
The ideal candidate must be well versed in the drywall industry,
    "
2019-07-22 12:34,https://newyork.craigslist.org/wch/egr/d/yonkers-window-door-drafter-needed/6939671095.html,Window & Door Drafter Needed,$$$,part-time,"
        ,
Architectural wood window and door company in Yonkers is seeking an experienced CAD drafter for highly detailed shop drawings. ,
,
We need someone who specifically understands how to draw wood doors and windows, including detailing hardware, weather stripping, and seals. ,
,
This can be a remote position and freelancers are welcome.,
    "
